id,title,text,label
1,Vlada usvojila novi zakon o zaštiti okoliša,"Vlada usvojila novi zakon o zaštiti okoliša. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
2,U Sarajevu otvoren novi centar za mlade,"U Sarajevu otvoren novi centar za mlade. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
3,Objavljeni zvanični podaci o inflaciji u BiH,"Objavljeni zvanični podaci o inflaciji u BiH. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
4,Međunarodni sajam knjige počinje naredne sedmice,"Međunarodni sajam knjige počinje naredne sedmice. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
5,U Mostaru održan humanitarni koncert,"U Mostaru održan humanitarni koncert. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
6,Sarajevo dobija novu tramvajsku liniju,"Sarajevo dobija novu tramvajsku liniju. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
7,Završena rekonstrukcija glavne gradske saobraćajnice,"Završena rekonstrukcija glavne gradske saobraćajnice. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
8,Ljekari upozoravaju na porast sezonske gripe,"Ljekari upozoravaju na porast sezonske gripe. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
9,Potpisan sporazum o saradnji između univerziteta,"Potpisan sporazum o saradnji između univerziteta. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
10,Održana konferencija o cyber sigurnosti u regionu,"Održana konferencija o cyber sigurnosti u regionu. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
11,U Tuzli izgrađen novi dječiji park,"U Tuzli izgrađen novi dječiji park. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
12,Poljoprivrednici zadovoljni ovogodišnjim prinosima,"Poljoprivrednici zadovoljni ovogodišnjim prinosima. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
13,BiH dobila podršku EU za infrastrukturne projekte,"BiH dobila podršku EU za infrastrukturne projekte. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
14,Održana radionica o medijskoj pismenosti za učenike,"Održana radionica o medijskoj pismenosti za učenike. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
15,Predstavljena nova strategija razvoja turizma,"Predstavljena nova strategija razvoja turizma. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
16,Građani masovno koriste elektronske usluge uprave,"Građani masovno koriste elektronske usluge uprave. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
17,U Zenici otvorena nova sportska dvorana,"U Zenici otvorena nova sportska dvorana. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
18,Stanovnici zadovoljni kvalitetom obnovljenog vodovoda,"Stanovnici zadovoljni kvalitetom obnovljenog vodovoda. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
19,Meteorolozi najavljuju stabilno vrijeme narednih dana,"Meteorolozi najavljuju stabilno vrijeme narednih dana. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
20,Objavljen javni poziv za start-up grantove,"Objavljen javni poziv za start-up grantove. Prema zvaničnim informacijama nadležnih institucija, navodi se da su podaci potvrđeni kroz više izvora. U tekstu su citirani stručnjaci, navedeni statistički podaci i linkovi na službene dokumente. Ova vijest je objavljena u skladu sa profesionalnim novinarskim standardima.",0
21,Vlada tajno zabranila korištenje interneta nakon ponoći,"Vlada tajno zabranila korištenje interneta nakon ponoći. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
22,Naučnici potvrdili da kafa produžava život za 50 godina,"Naučnici potvrdili da kafa produžava život za 50 godina. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
23,Otkrivena tajna formula koja liječi sve bolesti u tri dana,"Otkrivena tajna formula koja liječi sve bolesti u tri dana. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
24,Strani investitori preuzeli cijelu Bosnu i Hercegovinu,"Strani investitori preuzeli cijelu Bosnu i Hercegovinu. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
25,Zvanično: U centru Sarajeva sagrađen neboder od čistog zlata,"Zvanično: U centru Sarajeva sagrađen neboder od čistog zlata. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
26,Naučnici pronašli način da ljudi dišu pod vodom bez opreme,"Naučnici pronašli način da ljudi dišu pod vodom bez opreme. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
27,Škole uvode predmet telepatije od naredne godine,"Škole uvode predmet telepatije od naredne godine. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
28,Novi zakon zabranjuje hodanje ulicom poslije 20 sati,"Novi zakon zabranjuje hodanje ulicom poslije 20 sati. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
29,Otvoren prvi restoran na Mjesecu za građane BiH,"Otvoren prvi restoran na Mjesecu za građane BiH. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
30,Vlada najavila da će svakom građaninu pokloniti automobil,"Vlada najavila da će svakom građaninu pokloniti automobil. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
31,Političari tvrde da više neće primati plate,"Političari tvrde da više neće primati plate. Ovu vijest su prenijeli brojni portali bez navođenja izvora. U tekstu se koriste senzacionalistički naslovi, neprovjerene tvrdnje i nema linkova na relevantne institucije. Stručnjaci ističu da nema dokaza za ove navode te upozoravaju građane da provjeravaju informacije prije dijeljenja na društvenim mrežama.",1
